method,size,result_sorted,result_random,result_almost_sorted,result_reverse
sqrt,20,0.000010884,0.000002727,0.000001868,0.000002149
insertion,20,0.000006225,0.000004489,0.000000953,0.000000762
merge,20,0.000038013,0.000006005,0.000006042,0.000005500
quicksort2,20,0.000011612,0.000003897,0.000002226,0.000001875
parallel_sqrt,20,0.000160834,0.000086983,0.000071903,0.000042487
parallel_merge,20,0.000052053,0.000043671,0.000043764,0.000041855
sample_sqrt,20,0.000115837,0.000056439,0.000056612,0.000054470
sample_merge,20,0.000105484,0.000046186,0.000043684,0.000039607
sqrt,100,0.000004412,0.000004553,0.000004555,0.000004297
insertion,100,0.000015203,0.000009452,0.000009321,0.000002700
merge,100,0.000006526,0.000007449,0.000006472,0.000005946
quicksort2,100,0.000007044,0.000009451,0.000010011,0.000007829
parallel_sqrt,100,0.000047635,0.000044548,0.000036748,0.000035827
parallel_merge,100,0.000035088,0.000035184,0.000037007,0.000056289
sample_sqrt,100,0.000067135,0.000056423,0.000060456,0.000055070
sample_merge,100,0.000051114,0.000061979,0.000050199,0.000047934
sqrt,10000,0.002826667,0.002761023,0.002824587,0.002770208
insertion,10000,0.015362377,0.015117875,0.015160962,0.012214122
merge,10000,0.000568012,0.001047625,0.001042390,0.000536557
quicksort2,10000,0.001297516,0.000676197,0.000672475,0.000265353
parallel_sqrt,10000,0.000583507,0.000700347,0.000680426,0.000548509
parallel_merge,10000,0.000512580,0.000984945,0.000704282,0.000363490
sample_sqrt,10000,0.001388785,0.000809993,0.000740041,0.000679929
sample_merge,10000,0.000440522,0.000641772,0.000701366,0.000475338
sqrt,100000,0.087411324,0.087231851,0.087033444,0.087207618
insertion,100000,1.382824529,1.512428518,1.531652967,1.238552540
merge,100000,0.006106385,0.012331236,0.012306563,0.005932043
quicksort2,100000,0.002785129,0.007954239,0.007977187,0.002912064
parallel_sqrt,100000,0.007112141,0.009140982,0.009219198,0.006893080
parallel_merge,100000,0.003449477,0.006386894,0.006067476,0.003195143
sample_sqrt,100000,0.013904007,0.015597344,0.014668690,0.014322381
sample_merge,100000,0.003796210,0.006453582,0.006779966,0.004127499
merge,1000000,0.070258886,0.145196326,0.146467144,0.068859173
quicksort2,1000000,0.034680111,0.094229620,0.094197757,0.036693066
parallel_sqrt,1000000,0.105822254,0.128512176,0.133897951,0.105797193
parallel_merge,1000000,0.033532843,0.063628541,0.063501259,0.033885279
sample_sqrt,1000000,0.237339130,0.251434347,0.253292349,0.233300959
sample_merge,1000000,0.046342517,0.070420704,0.072034526,0.046115614
